         CrsP_-1_3_1  |        mutest_W_air  |       Panda PbWO4 crystal-131  |                        -1.025*cm 5.125*cm 10.1*cm  |                     0*deg 180*deg 0*deg  | 1c86ea   |                 Trd  |                                   1*cm 1*cm 1*cm 1*cm 10*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   0   |                 crs  |                 crs  |sector manual 402 xch manual -1 ych manual 3 
          CrsP_1_0_1  |        mutest_W_air  |        Panda PbWO4 crystal101  |                         2.55*cm -1.025*cm 10.1*cm  |                     0*deg 180*deg 0*deg  | 1c86ea   |                 Trd  |                                   1*cm 1*cm 1*cm 1*cm 10*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   0   |                 crs  |                 crs  |sector manual 402 xch manual 1 ych manual 0 
          CrsP_2_0_1  |        mutest_W_air  |        Panda PbWO4 crystal201  |                          4.6*cm -1.025*cm 10.1*cm  |                     0*deg 180*deg 0*deg  | 1c86ea   |                 Trd  |                                   1*cm 1*cm 1*cm 1*cm 10*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   0   |                 crs  |                 crs  |sector manual 402 xch manual 2 ych manual 0 
          CrsP_1_1_1  |        mutest_W_air  |        Panda PbWO4 crystal111  |                          2.55*cm 1.025*cm 10.1*cm  |                     0*deg 180*deg 0*deg  | 1c86ea   |                 Trd  |                                   1*cm 1*cm 1*cm 1*cm 10*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   0   |                 crs  |                 crs  |sector manual 402 xch manual 1 ych manual 1 
          CrsP_2_1_1  |        mutest_W_air  |        Panda PbWO4 crystal211  |                           4.6*cm 1.025*cm 10.1*cm  |                     0*deg 180*deg 0*deg  | 1c86ea   |                 Trd  |                                   1*cm 1*cm 1*cm 1*cm 10*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   0   |                 crs  |                 crs  |sector manual 402 xch manual 2 ych manual 1 
          CrsP_1_2_1  |        mutest_W_air  |        Panda PbWO4 crystal121  |                         1.025*cm 3.075*cm 10.1*cm  |                     0*deg 180*deg 0*deg  | 1c86ea   |                 Trd  |                                   1*cm 1*cm 1*cm 1*cm 10*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   0   |                 crs  |                 crs  |sector manual 402 xch manual 1 ych manual 2 
          CrsP_2_2_1  |        mutest_W_air  |        Panda PbWO4 crystal221  |                         3.075*cm 3.075*cm 10.1*cm  |                     0*deg 180*deg 0*deg  | 1c86ea   |                 Trd  |                                   1*cm 1*cm 1*cm 1*cm 10*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   0   |                 crs  |                 crs  |sector manual 402 xch manual 2 ych manual 2 
          CrsP_1_3_1  |        mutest_W_air  |        Panda PbWO4 crystal131  |                         1.025*cm 5.125*cm 10.1*cm  |                     0*deg 180*deg 0*deg  | 1c86ea   |                 Trd  |                                   1*cm 1*cm 1*cm 1*cm 10*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   0   |                 crs  |                 crs  |sector manual 402 xch manual 1 ych manual 3 
      CrsFT_-2_-2_-1  |        mutest_W_air  |        FT PbWO4 crystal-2-2-1  |                        -3.1*cm -3.575*cm -10.1*cm  |                       0*deg 0*deg 0*deg  | 2d50ff   |                 Trd  |                         0.75*cm 0.75*cm 1.5*cm 1.5*cm 10*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   0   |                 crs  |                 crs  |sector manual 500 xch manual -2 ych manual -2 
      CrsFT_-1_-2_-1  |        mutest_W_air  |        FT PbWO4 crystal-1-2-1  |                       -1.55*cm -4.175*cm -10.1*cm  |                       0*deg 0*deg 0*deg  | 2d50ff   |                 Trd  |                         0.75*cm 0.75*cm 1.5*cm 1.5*cm 10*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   0   |                 crs  |                 crs  |sector manual 500 xch manual -1 ych manual -2 
       CrsFT_0_-2_-1  |        mutest_W_air  |         FT PbWO4 crystal0-2-1  |                           0*cm -4.175*cm -10.1*cm  |                       0*deg 0*deg 0*deg  | 2d50ff   |                 Trd  |                         0.75*cm 0.75*cm 1.5*cm 1.5*cm 10*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   0   |                 crs  |                 crs  |sector manual 500 xch manual 0 ych manual -2 
       CrsFT_1_-2_-1  |        mutest_W_air  |         FT PbWO4 crystal1-2-1  |                        1.55*cm -4.175*cm -10.1*cm  |                       0*deg 0*deg 0*deg  | 2d50ff   |                 Trd  |                         0.75*cm 0.75*cm 1.5*cm 1.5*cm 10*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   0   |                 crs  |                 crs  |sector manual 500 xch manual 1 ych manual -2 
       CrsFT_2_-2_-1  |        mutest_W_air  |         FT PbWO4 crystal2-2-1  |                         3.1*cm -3.575*cm -10.1*cm  |                       0*deg 0*deg 0*deg  | 2d50ff   |                 Trd  |                         0.75*cm 0.75*cm 1.5*cm 1.5*cm 10*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   0   |                 crs  |                 crs  |sector manual 500 xch manual 2 ych manual -2 
       CrsFT_0_-1_-1  |        mutest_W_air  |         FT PbWO4 crystal0-1-1  |                           0*cm -1.875*cm -10.1*cm  |                      0*deg 0*deg 90*deg  | 2d50ff   |                 Trd  |                         0.75*cm 0.75*cm 1.5*cm 1.5*cm 10*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   0   |                 crs  |                 crs  |sector manual 500 xch manual 0 ych manual -1 
        CrsFT_0_0_-1  |        mutest_W_air  |          FT PbWO4 crystal00-1  |                           0*cm -0.325*cm -10.1*cm  |                      0*deg 0*deg 90*deg  | 2d50ff   |                 Trd  |                         0.75*cm 0.75*cm 1.5*cm 1.5*cm 10*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   0   |                 crs  |                 crs  |sector manual 500 xch manual 0 ych manual 0 
        CrsFT_0_1_-1  |        mutest_W_air  |          FT PbWO4 crystal01-1  |                            0*cm 1.225*cm -10.1*cm  |                      0*deg 0*deg 90*deg  | 2d50ff   |                 Trd  |                         0.75*cm 0.75*cm 1.5*cm 1.5*cm 10*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   0   |                 crs  |                 crs  |sector manual 500 xch manual 0 ych manual 1 
       CrsFT_-2_-2_1  |        mutest_W_air  |         FT PbWO4 crystal-2-21  |                         -3.1*cm -3.575*cm 10.1*cm  |                     0*deg 180*deg 0*deg  | 2d50ff   |                 Trd  |                         0.75*cm 0.75*cm 1.5*cm 1.5*cm 10*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   0   |                 crs  |                 crs  |sector manual 502 xch manual -2 ych manual -2 
       CrsFT_-1_-2_1  |        mutest_W_air  |         FT PbWO4 crystal-1-21  |                        -1.55*cm -4.175*cm 10.1*cm  |                     0*deg 180*deg 0*deg  | 2d50ff   |                 Trd  |                         0.75*cm 0.75*cm 1.5*cm 1.5*cm 10*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   0   |                 crs  |                 crs  |sector manual 502 xch manual -1 ych manual -2 
        CrsFT_0_-2_1  |        mutest_W_air  |          FT PbWO4 crystal0-21  |                            0*cm -4.175*cm 10.1*cm  |                     0*deg 180*deg 0*deg  | 2d50ff   |                 Trd  |                         0.75*cm 0.75*cm 1.5*cm 1.5*cm 10*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   0   |                 crs  |                 crs  |sector manual 502 xch manual 0 ych manual -2 
        CrsFT_1_-2_1  |        mutest_W_air  |          FT PbWO4 crystal1-21  |                         1.55*cm -4.175*cm 10.1*cm  |                     0*deg 180*deg 0*deg  | 2d50ff   |                 Trd  |                         0.75*cm 0.75*cm 1.5*cm 1.5*cm 10*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   0   |                 crs  |                 crs  |sector manual 502 xch manual 1 ych manual -2 
        CrsFT_2_-2_1  |        mutest_W_air  |          FT PbWO4 crystal2-21  |                          3.1*cm -3.575*cm 10.1*cm  |                     0*deg 180*deg 0*deg  | 2d50ff   |                 Trd  |                         0.75*cm 0.75*cm 1.5*cm 1.5*cm 10*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   0   |                 crs  |                 crs  |sector manual 502 xch manual 2 ych manual -2 
        CrsFT_0_-1_1  |        mutest_W_air  |          FT PbWO4 crystal0-11  |                            0*cm -1.875*cm 10.1*cm  |                    0*deg 180*deg 90*deg  | 2d50ff   |                 Trd  |                         0.75*cm 0.75*cm 1.5*cm 1.5*cm 10*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   0   |                 crs  |                 crs  |sector manual 502 xch manual 0 ych manual -1 
         CrsFT_0_0_1  |        mutest_W_air  |           FT PbWO4 crystal001  |                            0*cm -0.325*cm 10.1*cm  |                    0*deg 180*deg 90*deg  | 2d50ff   |                 Trd  |                         0.75*cm 0.75*cm 1.5*cm 1.5*cm 10*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   0   |                 crs  |                 crs  |sector manual 502 xch manual 0 ych manual 0 
         CrsFT_0_1_1  |        mutest_W_air  |           FT PbWO4 crystal011  |                             0*cm 1.225*cm 10.1*cm  |                    0*deg 180*deg 90*deg  | 2d50ff   |                 Trd  |                         0.75*cm 0.75*cm 1.5*cm 1.5*cm 10*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   0   |                 crs  |                 crs  |sector manual 502 xch manual 0 ych manual 1 
